x,y,z
-17,4,16516
-58,114,16546
379,31,16535
-112,-318,16533
277,91,16516
-113,90,16526
284,-303,16549
-51,77,16533
-46,40,16537
286,15,16544
-98,28,16533
-48,56,16541
262,23,16551
-42,17,16545
-28,51,16552
-10,4,16525
258,29,16546
-56,15,16533
-51,13,16753
267,23,16565
-55,51,16757
-22,3,16537
-74,25,16553
374,34,16546
123,60,16531
298,50,16549
334,-303,16536
-97,75,16523
274,90,16516
-67,-273,16523
270,75,16554
-77,77,16549
272,-267,16539
-7,-269,16519
-87,111,16546
282,-266,16520
-64,-281,16535
261,50,16535
-38,64,16544
273,5,16756
-48,20,16546
-50,71,16528
268,28,16562
-12,37,16555
-98,28,16534
-14,37,16544
279,9,16528
-75,54,16542
-1034,-1533,16817
666,-263,16973
568,12,18266
1806,-520,17278
4535,101,16589
5894,333,15617
11137,1956,15682
13044,1115,12182
11668,265,7520
13236,-1220,2689
16250,-972,5117
15666,-2060,3254
16383,-1699,3800
16119,-1210,4098
15008,-1829,2326
16260,-1742,2469
16270,-1467,2904
16331,-2310,2769
16910,-2167,4185
15456,-2025,2523
17725,-1564,6162
13802,-1084,5516
17243,1243,13860
8887,-271,5629
9450,1802,13389
7073,1026,15146
5302,526,16329
2010,-716,15028
3865,-1312,16090
1165,-1005,15953
1652,-393,17442
174,-27,17487
253,-304,16649
-851,274,16021
-406,9,15554
-914,-129,16553
177,-1285,17261
560,-2866,16538
884,-3898,18714
1483,-5590,17936
-306,-6890,14141
3733,-8762,15404
-460,-10276,10497
5369,-12711,9552
3403,-14151,6603
3368,-14521,5689
3503,-14968,5826
2827,-14806,5520
3550,-15638,5487
3134,-15707,5440
3186,-14561,7307
1695,-14992,6498
2660,-14017,6858
1667,-14160,8449
1862,-12017,10153
1442,-11929,11796
23,-10126,12085
1691,-8080,13632
595,-7466,14585
1838,-6726,15214
1647,-2861,18619
1559,-4236,15996
1427,-1841,17123
387,-977,16780
1110,-389,16309
209,-344,17229
1139,-389,16615
1011,-543,16644
1910,-564,16862
847,-851,15784
627,-586,16880
-3173,-1004,16084
-3746,-1574,16042
-5734,-821,15582
-13448,-2097,11609
-13414,-1457,5600
-13950,-2114,9398